"","Country","Year","gini","Eu_2004","Eu_2014","Educbasic","workagepop","R&D","FDIinflows"
"196","HUN","2014",0.99007473553444,"1","1",24.34,6691117,"1.3445999622345",9.26026289604708
"197","HUN","2013",0.989887389483046,"1","1",27.714,6747076,"1.38409996032715",-2.64334200019703
"198","HUN","2012",0.989974965265811,"1","1",27.052,6794920,"1.25423002243042",8.39652900734838
"199","HUN","2011",0.989467426336102,"1","1",26.337,6849382,"1.17925000190735",7.56713765607226
"200","HUN","2010",0.989279859902459,"1","1",26.064,6874888,"1.12864995002747",-15.7141859416703
"201","HUN","2009",0.989027082373786,"1","1",25.1,6895853,"1.12802004814148",-2.13023268950647
"202","HUN","2008",0.989137590371648,"1","1",25.236,6915646,"0.977569997310638",47.4388008170059
"203","HUN","2007",0.988987512893941,"1","1",24.697,6932247,"0.954450011253357",50.3837301500016
"204","HUN","2006",0.98922969406302,"1","1",24.876,6941896,"0.977400004863739",16.1419177882521
"205","HUN","2005",0.989288705324144,"1","1",24.72,6945793,"0.919510006904602",24.2817851336626
"206","HUN","2004",0.988985554532233,"1","1",23.909,6950722,"0.859899997711182",4.35849386883798
"207","HUN","2003",0.989990405330565,"1","1",24.703,6954489,"0.91882997751236",4.87484007510829
"208","HUN","2002",0.989632970809659,"1","1",24.727,6963235,"0.983550012111664",5.38897593043896
"209","HUN","2001",0.989843385505762,"1","1",25.036,6966362,"0.913100004196167",7.55129373840367
"210","HUN","2000",0.990204475197604,"1","1",25.413,6961575,"0.790960013866425",5.81915570397215
"211","IRL","2014",0.992641921879053,"0","1",33.478,3058075,"1.52098000049591",37.5005979229747
"212","IRL","2013",0.992775296563812,"0","1",35.874,3047390,"1.56757998466492",29.7385395755597
"213","IRL","2012",0.99289389319493,"0","1",36.385,3051045,"1.55675005912781",25.8043465179726
"214","IRL","2011",0.992624784139297,"0","1",37.369,3063271,"1.55262005329132",9.90897233886717
"215","IRL","2010",0.993094677502038,"0","1",38.371,3080449,"1.5947699546814",17.0104319599033
"216","IRL","2009",0.993317153457594,"0","1",40.117,3095102,"1.61371004581451",22.827608853053
"217","IRL","2008",0.993383562005691,"0","1",43.619,3088703,"1.39126002788544",8.45449268903965
"218","IRL","2007",0.993071685562475,"0","1",45.163,3036843,"1.23407995700836",22.1915415030247
"219","IRL","2006",0.993313733567793,"0","1",42.538,2942068,"1.19886994361877",9.50555829114522
"220","IRL","2005",0.993405511316388,"0","1",47.071,2847567,"1.19196999073029",22.1832694953893
"221","IRL","2004",0.993201086833968,"0","1",45.62,2774986,"1.1777800321579",-5.4573737056403
"222","IRL","2003",0.993125936840831,"0","1",45.564,2718146,"1.12434995174408",13.8344483619935
"223","IRL","2002",0.99309733322831,"0","1",45.951,2666451,"1.05575001239777",22.8030331273105
"224","IRL","2001",0.992896380029636,"0","1",51.086,2609285,"1.05193996429443",8.82598474895757
"225","IRL","2000",0.992680693130236,"0","1",49.764,2553492,"1.08382999897003",25.7260262388969
"226","ITA","2014",0.989985002974026,"0","1",34.893,39180526,"1.33840000629425",0.787819994555961
"227","ITA","2013",0.989911330207699,"0","1",35.188,38985081,"1.30106997489929",0.911862937337876
"228","ITA","2012",0.990015955039688,"0","1",35.636,38703235,"1.26218998432159",0.00167234025572561
"229","ITA","2011",0.989913603687254,"0","1",34.876,38780536,"1.20155000686646",1.50176764625296
"230","ITA","2010",0.990022987034359,"0","1",35.085,38830477,"1.21797001361847",0.464889359066002
"231","ITA","2009",0.989699973643051,"0","1",35.762,38762126,"1.21786999702454",0.75489699092781
"232","ITA","2008",0.989885529644262,"0","1",36.969,38648892,"1.15971994400024",-0.394476495589979
"233","ITA","2007",0.989920940860737,"0","1",37.239,38435856,"1.12899005413055",2.98113330312029
"234","ITA","2006",0.98995782064208,"0","1",37.923,38318239,"1.08401000499725",2.92351747020356
"235","ITA","2005",0.989848448325478,"0","1",40.983,38356918,"1.04435002803802",1.97835183741895
"236","ITA","2004",0.989866126395163,"0","1",42.049,38343139,"1.05025005340576",1.11266342687585
"237","ITA","2003",0.989730172474722,"0","1",41.934,38224559,"1.05894005298615",1.24065779813371
"238","ITA","2002",0.989773579030814,"0","1",41.774,38184023,"1.08124005794525",1.35023292663196
"239","ITA","2001",0.98986919037583,"0","1",41.332,38273154,"1.04069995880127",1.27378322788259
"240","ITA","2000",0.989983499017567,"0","1",42.84,38388464,"1.00364005565643",1.14879631454321
"241","LTU","2014",0.991384378745306,"1","1",16.603,1949194,"1.03011000156403",0.736237941196901
"242","LTU","2013",0.991333745660716,"1","1",14.779,1973098,"0.94871997833252",1.65219575592806
"243","LTU","2012",0.991737242577785,"1","1",14.101,1998425,"0.893040001392365",1.57750505089112
"244","LTU","2011",0.991765404961035,"1","1",14.078,2029386,"0.9026899933815",4.32022249925765
"245","LTU","2010",0.991544854870499,"1","1",14.232,2079598,"0.78329998254776",2.96992979569042
"246","LTU","2009",0.991451797794643,"1","1",15.612,2126621,"0.830839991569519",-0.963401425538232
"247","LTU","2008",0.991721207560202,"1","1",15.009,2151210,"0.78931999206543",3.61376702103575
"248","LTU","2007",0.990910895933673,"1","1",18.104,2171963,"0.801739990711212",6.55321194511853
"249","LTU","2006",0.990769575256024,"1","1",17.888,2194902,"0.79203999042511",7.48546796463773
"250","LTU","2005",0.990668743002488,"1","1",21.92,2226434,"0.74821001291275",4.95274255731953
"251","LTU","2004",0.990384000097376,"1","1",24.237,2258778,"0.751399993896484",3.88704212188136
"252","LTU","2003",0.989796714979681,"1","1",28.53,2280393,"0.664129972457886",1.15750220940481
"253","LTU","2002",0.990035602066613,"1","1",24.697,2293621,"0.657549977302551",4.63394557429123
"254","LTU","2001",0.990345631848271,"1","1",25.875,2305770,"0.667620003223419",3.61515055285972
"255","LTU","2000",0.990423395503583,"1","1",27.149,2319668,"0.585529983043671",3.2996083516447
"256","LUX","2014",0.993997882573314,"0","1",36.111,384740,"1.21700000762939",29.1553936968481
"257","LUX","2013",0.99378838577145,"0","1",38.054,375473,"1.23380994796753",35.7329034705247
"258","LUX","2012",0.994403613998297,"0","1",38.333,366460,"1.20664000511169",4.72448385274156
"259","LUX","2011",0.994391266250254,"0","1",38.218,356297,"1.42453002929688",14.3333707100093
"260","LUX","2010",0.994234523032592,"0","1",36.579,346776,"1.4237300157547",69.6063943445404
"261","LUX","2009",0.994001870995781,"0","1",38.535,339456,"1.58838999271393",50.0394903072548
